,x,y,id
65,9.796588,15.314261,A-2-c-2-2-9-7_04
66,12.243693,-6.444519,1283949083_00000340
67,5.0214725,19.469488,A-2-b-1-1_73
68,5.6829953,20.754616,A-2-c-2-4-5_016
69,9.401203,-2.3811042,1283944286_00001320
70,15.051057,2.2898016,B-2-FEU-2_02
71,13.785964,11.289022,A-2-c-2-2-10-4_52
72,7.0562162,-16.050905,B-2-BECH-10_01
73,6.0118756,21.920393,A-2-b-1-1_38
74,1.4208484,-2.9908195,1284895114_00002360
75,10.186779,20.00616,A-2-c-2-1-6_20
76,8.521906,21.072697,A-2-c-2-2-3_117
77,6.334863,-16.05944,1284075060_00000030
78,10.5544,20.088121,A-2-c-2-3-4_151
79,8.0573015,-14.599087,1284263177_00000030
80,12.65878,16.978956,A-2-c-2-1-5_26
81,12.404781,10.496472,A-1-d-8-1_02
82,10.010606,20.82125,A-2-c-2-4-5_023
83,1.8333887,-4.0815163,1284876926_00000020
84,6.9827785,-8.440311,1283943956_00002640
85,-7.6857677,-0.38730848,1284074099_00000010
86,7.431703,19.359928,A-2-b-1-2_150
87,3.64861,-8.282649,1283943913_00003690
88,10.656509,19.45397,A-1-d-4-2_24
89,8.355205,21.284061,A-2-c-2-4-1_073
90,9.594751,15.432738,1283943824_00001670
91,19.170801,9.086304,A-2-c-2-4-4_257
92,5.922206,-16.125797,1284069834_00000010
93,11.001215,-4.039989,1283943824_00002080
94,13.135578,18.107222,A-2-c-2-5-1_155
95,16.252993,2.1840298,B-1-BECH-197_02
96,11.348455,-5.313128,1283949474_00001220
97,12.031578,-3.8919442,1283943824_00001620
98,5.917783,20.783611,A-2-c-2-1-12_070
99,11.259525,2.9011638,A-2-c-3-5_41
100,8.326889,20.783669,A-1-d-7-1_02
101,6.2743335,19.216206,A-2-c-2-1-6_32
102,5.9393997,-12.438201,B-1-MAE-1_01
103,7.734969,-15.327906,1284263185_00000020
104,11.285069,-3.4447408,A-2-c-2-4-4_245
105,1.7819215,-4.4058814,1283943808_00001420
106,9.844926,-5.9072948,1284854213_00000010
107,8.520036,-17.052433,1284068714_00000040
108,13.064494,-3.0338666,1283943298_00000320
109,5.1063066,-12.644509,A-2-f-1-3_5M_37
110,10.507695,-13.285112,B-1-BECH-039_01
111,7.1773443,15.457536,A-1-f-52-1_06
112,16.916956,2.7395074,1284855953_00000010
113,2.452351,-6.4481835,1283943808_00005040
114,4.2403235,19.830158,A-2-c-2-4-2_144
115,-8.233426,10.003404,1284049191_00000070
116,8.069113,0.72250694,A-2-c-2-5-1_004
117,12.742045,5.5697384,A-2-b-1-1_144
118,15.662709,14.328681,1283944200_00000650
119,11.808636,17.924604,1283943492_00001590
120,7.7955594,20.580378,1283944316_00001070
121,13.62637,18.545385,A-2-c-2-2-6_133
122,10.14825,20.630087,A-1-f-31-4_15
123,15.220216,14.27135,1283943824_00002570
124,7.1014237,-3.181775,1283943956_00001800
125,7.1527605,17.436487,A-2-c-2-3-2_02
126,-3.448708,-11.180784,1283943867_00000870
127,20.104876,8.714166,A-2-a-2-1-3_02
128,3.4941056,17.336794,A-1-f-53-1_03
129,15.264248,12.990045,1283944391_00000030
130,10.661856,18.269098,A-2-c-2-4-7_13
131,3.872804,-10.248555,1283943913_00001200
132,16.701649,9.305398,1283943808_00005330
133,25.299889,12.564211,A-1-a-6-1_30
134,14.029582,6.043873,1284863549_00000030
135,10.835383,18.392252,A-1-a-4-6_05
136,15.349901,3.605243,B-2-BECH-27_01
137,13.042368,18.190119,A-2-c-2-4-1_090
138,23.95296,12.011791,A-1-a-4-3_10
139,23.724054,-0.2442498,1283948923_00000230
140,23.835253,1.0601434,1283949377_00000750
141,23.101837,1.6745741,1283948923_00001070
142,8.641893,0.10505971,1283949547_00001730
143,25.728004,-1.3126792,A-3-c-2-1_35
144,12.40048,18.475332,1283943808_00000090
145,9.323036,19.599783,A-2-c-2-5-1_086
146,8.998182,9.852737,A-1-d-1-3-2M_15
147,4.164028,-7.7660894,A-2-f-1-2_2M_38
148,15.84336,11.724551,1283944421_00000220
149,7.4005885,17.530315,A-2-c-2-1-2_300
150,-8.686999,-0.22366397,1284261883_00000020
151,6.2037563,20.530281,A-2-c-2-5-1_233
152,16.876867,13.109537,A-2-c-2-2-8_040
153,24.708216,12.064692,A-1-a-4-3_03
154,-5.086751,-7.9189844,1284895114_00000580
