id,keywords,year
"1283948923_00000700.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000710.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000720.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000730.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000740.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000750.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000760.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000770.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000780.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000790.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000800.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000810.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000820.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000830.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000530.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000540.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000550.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000560.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000570.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000580.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000590.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000600.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000610.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000620.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000630.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000640.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000650.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000660.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000670.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000370.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000380.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000390.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000400.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000410.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000420.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000430.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000440.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000450.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000460.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000470.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000480.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000490.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000500.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000510.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000210.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000220.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000230.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000240.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000250.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000260.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000270.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000280.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000290.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000300.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000310.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000320.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000330.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000340.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000350.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948893_00000010.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948893_00000020.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948893_00000030.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948893_00000040.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948893_00000050.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
